postal,name,lat,lng,province
2830,Tisselt,51.03437,4.35717,Antwerpen
2830,Willebroek,51.0597994,4.3640791,Antwerpen
2840,Reet,51.1011334,4.4125882,Antwerpen
2840,Rumst,51.0804212,4.4217895,Antwerpen
2840,Terhagen,51.0791977,4.3992612,Antwerpen
2845,Niel,51.11064,4.33207,Antwerpen
2850,Boom,51.08608,4.36633,Antwerpen
2860,Sint-Katelijne-Waver,51.0614235,4.5055555,Antwerpen
2861,Onze-Lieve-Vrouw-Waver,51.0618859,4.5787019,Antwerpen
2870,Breendonk,51.04309,4.32204,Antwerpen
2870,Liezele,51.06082,4.28023,Antwerpen
2870,Puurs-Sint-Amands,51.0555561,4.2538889,Antwerpen
2870,Ruisbroek,51.08799,4.33107,Antwerpen
2880,Bornem,51.0996057,4.2404586,Antwerpen
2880,Hingene,51.1032985,4.2687874,Antwerpen
2880,Mariekerke,51.0634883,4.1923418,Antwerpen
2880,Weert,51.1034075,4.190123,Antwerpen
2890,Lippelo,51.04215,4.2586,Antwerpen
2890,Oppuurs,51.06607,4.24199,Antwerpen
2900,Schoten,51.2497532,4.4977063,Antwerpen
2910,Essen,51.46776,4.46844,Antwerpen
2920,Kalmthout,51.38298,4.47518,Antwerpen
2930,Brasschaat,51.29227,4.49419,Antwerpen
2940,Hoevenen,51.3061855,4.4047295,Antwerpen
2940,Stabroek,51.334729,4.371689,Antwerpen
2950,Kapellen,51.314024,4.4323815,Antwerpen
2960,Brecht,51.3496533,4.6377227,Antwerpen
2960,Sint-Job-In-'t-Goor,51.29827,4.5732,Antwerpen
2960,Sint-Lenaarts,51.34869,4.67703,Antwerpen
2970,'s Gravenwezel,51.26292,4.56096,Antwerpen
2970,Schilde,51.2407352,4.5834231,Antwerpen
2980,Halle,51.2398459,4.6465058,Antwerpen
2980,Zoersel,51.2682227,4.7125694,Antwerpen
2990,Loenhout,51.3990063,4.6432288,Antwerpen
2990,Wuustwezel,51.389404,4.5912302,Antwerpen
3000,Leuven,50.8815197,4.6967578,Vlaams-Brabant
3001,Heverlee,50.86386,4.69594,Vlaams-Brabant
3010,Kessel Lo,50.88514,4.73571,Vlaams-Brabant
3012,Wilsele,50.89047,4.69451,Vlaams-Brabant
3018,Wijgmaal,50.92624,4.70195,Vlaams-Brabant
3020,Herent,50.9092247,4.6768701,Vlaams-Brabant
3020,Veltem-Beisem,50.9063184,4.620825,Vlaams-Brabant
3020,Winksele,50.8974666,4.6435179,Vlaams-Brabant
3040,Huldenberg,50.7885995,4.5880687,Vlaams-Brabant
3040,Loonbeek,50.80972,4.61029,Vlaams-Brabant
3040,Neerijse,50.81743,4.62345,Vlaams-Brabant
3040,Ottenburg,50.75199,4.61579,Vlaams-Brabant
3040,Sint-Agatha-Rode,50.78559,4.63408,Vlaams-Brabant
3050,Oud-Heverlee,50.8282606,4.659534,Vlaams-Brabant
3051,Sint-Joris-Weert,50.8027501,4.6528755,Vlaams-Brabant
3052,Blanden,50.82558,4.70916,Vlaams-Brabant
3053,Haasrode,50.83159,4.72988,Vlaams-Brabant
3054,Vaalbeek,50.82553,4.68938,Vlaams-Brabant
3060,Bertem,50.8632924,4.6307637,Vlaams-Brabant
3060,Korbeek-Dijle,50.83807,4.6382,Vlaams-Brabant
3061,Leefdaal,50.84866,4.5939,Vlaams-Brabant
3070,Kortenberg,50.8855654,4.5374772,Vlaams-Brabant
3071,Erps-Kwerps,50.9006097,4.5607782,Vlaams-Brabant
3078,Everberg,50.8788296,4.5712345,Vlaams-Brabant
3078,Meerbeek,50.8818641,4.5892898,Vlaams-Brabant
3080,Duisburg,50.81569,4.55184,Vlaams-Brabant
3080,Tervuren,50.8259264,4.5077781,Vlaams-Brabant
3080,Vossem,50.83577,4.56026,Vlaams-Brabant
3090,Overijse,50.7681029,4.5336216,Vlaams-Brabant
3110,Rotselaar,50.9535967,4.7215113,Vlaams-Brabant
3111,Wezemaal,50.9482,4.75541,Vlaams-Brabant
3118,Werchter,50.97278,4.70007,Vlaams-Brabant
3120,Tremelo,50.9956159,4.7159551,Vlaams-Brabant
3128,Baal,50.99555,4.75304,Vlaams-Brabant
3130,Begijnendijk,51.0188,4.78263,Vlaams-Brabant
3130,Betekom,50.98566,4.7817,Vlaams-Brabant
3140,Keerbergen,51.0057936,4.6320416,Vlaams-Brabant
3150,Haacht,50.97894,4.64134,Vlaams-Brabant
3150,Tildonk,50.94327,4.64449,Vlaams-Brabant
3150,Wespelaar,50.95991,4.63884,Vlaams-Brabant
3190,Boortmeerbeek,50.9803397,4.5744373,Vlaams-Brabant
3191,Hever,50.995,4.55135,Vlaams-Brabant
3200,Aarschot,50.9806151,4.827381,Vlaams-Brabant
3200,Gelrode,50.96548,4.80272,Vlaams-Brabant
3201,Langdorp,50.99531,4.87083,Vlaams-Brabant
3202,Rillaar,50.97438,4.89422,Vlaams-Brabant
